0,6
6,7
7,8
8,9
4,5
5,6
6,8
0,7
4,6
6,7
7,8
0,5
5,7
7,8
8,9
0,7
7,8
0,3
3,4
4,5
5,8
3,4
4,5
5,8
8,9
3,5
5,8
3,5
5,6
6,7
7,8
0,2
2,3
3,5
5,7
7,8
8,9
0,3
3,4
4,5
5,6
6,8
0,5
5,6
6,9
0,7
7,8
0,3
3,7
7,8
8,9
5,7
7,8
8,9
3,6
6,9
0,3
3,8
3,4
5,8
3,8
8,9
3,5
5,9
3,6
6,8
0,3
3,8
3,8
8,9
7,8
0,3
3,8
8,9
3,5
5,7
7,8
0,3
3,8
3,7
7,8
8,9
5,8
0,5
5,7
7,8
0,3
3,5
5,6
6,7
7,9
4,8
0,1
1,3
3,6
6,8
8,9
3,5
5,9
6,8
8,9
0,3
3,8
8,9
8,9
3,6
6,7
7,9
0,3
3,5
0,3
3,6
3,6
6,8
8,9
3,5
5,6
6,8
8,9
5,6
6,8
8,9
3,4
4,7
7,9
0,4
4,7
7,8
8,9
3,5
5,7
7,8
0,4
4,5
5,7
7,8
6,8
8,9
0,7
7,8
0,3
3,7
7,8
8,9
0,3
3,4
4,5
5,7
7,8
8,9
0,3
3,5
5,8
8,9
0,4
3,4
4,9
5,8
0,3
3,7
3,5
0,3
3,6
6,7
7,8
0,3
3,5
5,9
0,4
4,8
0,3
3,9
3,9
6,8
8,9
3,7
6,8
8,9
3,7
7,8
8,9
3,7
7,8
8,9
3,8
8,9
0,3
3,5
5,7
7,8
6,7
7,9
0,3
3,5
5,8
3,6
6,9
3,8
8,9
3,4
4,8
3,5
5,8
8,9
3,4
4,8
8,9
5,8
4,7
7,8
8,9
0,9
3,6
6,8
8,9
3,7
7,8
8,9
3,5
5,8
3,4
4,6
6,8
6,7
7,8
0,6
4,8
0,5
5,8
8,9
4,7
7,8
8,9
3,4
4,8
7,9
3,5
5,8
3,4
4,9
0,1
1,5
5,6
4,5
5,6
6,8
8,9
0,9
3,5
5,6
6,8
8,9
4,7
7,8
3,4
4,8
8,9
0,6
6,7
7,8
3,5
5,7
7,8
8,9
0,3
3,5
5,7
7,8
8,9
3,4
4,6
6,8
8,9
0,3
3,4
4,5
5,7
7,8
0,3
3,5
5,8
8,9
3,4
4,6
6,7
7,8
8,9
5,8
0,9
0,3
3,7
7,8
8,9
3,4
4,6
0,3
3,7
7,8
8,9
3,8
8,9
0,8
8,9
1,3
3,7
7,8
0,3
3,6
6,8
8,9
1,3
3,4
4,5
5,8
0,3
3,6
6,7
6,8
8,9
3,5
5,8
8,9
0,3
3,6
6,8
3,5
5,8
8,9
